프롬엘 남자 구김방지 스판 9부 빅사이즈 사계절 밴딩 슬랙스(5COLOR),//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/e2c2/1371248859e70f09bee73904e1777872816e59048b16352e27b08412c55f.jpg,19000,['M(30)'],"['하의 사이즈: 남성 30~31인치', '색상계열: 그레이계열', '쿠팡상품번호: 4913885357 - 6425258554']"
씨쏘 남성용 히든밴딩 감격 슬랙스 팬츠,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/07/24/11/5/3ff60d57-5cde-4f27-80e5-c1a4a7d76392.jpg,21000,['28'],"['하의 사이즈: 남성 S (28~29인치)', '색상계열: 네이비', '앞주름: 주름없음', '소재: 폴리에스터/나일론', '쿠팡상품번호: 250967503 - 792202815']"
업클라스 남성용 9부길이 시크릿밴딩 슬랙스 a02z,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/09/29/18/3/69f43696-d833-40ea-9356-d85ea25f8980.jpg,17000,['30'],"['색상계열: 블랙계열', '하의 사이즈: 남성 30~31인치', '쿠팡상품번호: 2251880019 - 3849953952']"
머시따 남성용 시크릿 밴딩 슬렉스,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/256907971881814-cf15dcaa-3864-4a96-bfdd-fd0222ae3321.jpg,23000,['M'],"['색상계열: 블랙계열', '쿠팡상품번호: 1519696578 - 659666023']"
토니어스 남자 구김없는 10부 슬랙스 S~XL,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/images/2018/03/14/14/3/5cbabe89-d492-4f4a-9b63-db166a6fcd7a.jpg,33000,['L'],"['하의 사이즈: 남성 L', '쿠팡상품번호: 70132675 - 2039553026']"
프리미엄 시크릿 밴딩 슬랙스,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/40fe/8c16ccc25ced3bf97b655b9d841636000536797c53900ec51f31e37d9196.jpg,25000,['XL(34~35)'],"['색상계열: 블랙계열', '하의 사이즈: 남성 34~35인치', '쿠팡상품번호: 5158292517 - 7097633843']"
캐럿 남성 스트레이트핏 히든밴딩 스판 슬랙스,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/198182745310740-985854af-e06d-44ca-946b-945d77810b3d.jpg,17000,['28'],"['색상계열: 블랙계열', '하의 사이즈: 남성 28~29인치', '쿠팡상품번호: 1592154409 - 2720454526']"
캐럿 여성 스트레이트핏 스판 슬랙스,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/269014161859767-66b336d2-adf3-4629-b30c-b69ad64d6474.jpg,17000,['L(66)'],"['색상계열: 블랙계열', '하의 사이즈: 여성 L', '쿠팡상품번호: 1592154641 - 2720454980']"
9부10부 히든밴딩 링클프리 구김방지 남자 스판 슬랙스(1213),//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/86bb/9465d6f085ddaf3ddfbb7e90f353abb3390cb49c0d1a4ab3c12b38d91e62.jpg,16000,['S'],"['색상계열: 화이트계열', '하의 사이즈: 남성 S', '쿠팡상품번호: 2305543231 - 3973850524']"
씨쏘 남성용 히든밴딩 10부 슬랙스 긴바지,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/08/19/5133261898/22e256ba-cc4c-4659-9f52-7ca901f7aeea.jpg,21000,['36'],"['하의 사이즈: 남성 XXL (36~38인치) 이상', '색상계열: 블랙계열', '앞주름: 주름없음', '소재: 폴리에스터/나일론', '쿠팡상품번호: 267929863 - 840357962']"
